irrelevant,irrelevant,irrelevant,irrelevant,numerical_features,numerical_features,technician_latitude,technician_longitude,site_latitude,site_longitude,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,target_column,categorical_features,categorical_features,categorical_features,categorical_features
qpqb113436782,30-Dec-25,TECH1005,Lisa Nguyen,31,4.9,15.585658,73.743606,15.625658,73.783606,Electrical Repair,Low Priority,Air Conditioner,Sunny,High ,Metropolitian ,2.333333333,Toys,Customer Complaint ,Trane,CenTraVac
teij116088130,31-Dec-25,TECH1006,Carlos Rivera,24,4.7,0,0,0.13,0.13,Plumbing Maintenance,Medium Priority,Chiller Unit,Fog,Jam ,Metropolitian ,3.25,Cosmetics,Automated System Alert ,Lennox,Energence Ultra
zutg690542042,1-Jan-26,TECH1007,Emma Brown,30,4.9,17.429585,78.392621,17.519585,78.482621,Boiler Servicing,High Priority,Heat Pump,Cloudy,Medium ,Metropolitian ,2.5,Skincare,Compliance Audit ,Daikin,VRV IV
qphf884454355,2-Jan-26,TECH1008,Vikram Singh,36,4.8,26.766536,75.837333,26.896536,75.967333,Refrigeration System Repair,Urgent Priority,Ventilation System,Sandstorms,Medium ,Metropolitian ,3,Apparel,Routine Inspection,York,Affinity YXV
fcib257172141,3-Jan-26,TECH1009,Robert Taylor,36,4.4,26.846156,75.8023,26.986156,75.9423,HVAC Maintenance,Low Priority,Rooftop AC,Fog,Low ,Metropolitian ,3.083333333,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
fium151549195,4-Jan-26,TECH1010,Lisa Nguyen,26,4.7,26.913987,75.752891,27.053987,75.892891,Electrical Repair,Medium Priority,Asset  type,Cloudy,Jam ,Metropolitian ,3.583333333,Apparel,Customer Complaint ,Trane,CenTraVac
vvnq162473052,5-Jan-26,TECH1011,Carlos Rivera,30,4.6,22.310526,73.170937,22.420526,73.280937,Plumbing Maintenance,High Priority,Air Conditioner,Sunny,Low ,Other,2.416666667,Apparel,Automated System Alert ,Lennox,Energence Ultra
hhem665543827,6-Jan-26,TECH1012,Emma Brown,20,4.8,0,0,0.03,0.03,Boiler Servicing,Urgent Priority,Chiller Unit,Stormy,Medium ,Metropolitian ,2.083333333,Shoes,Compliance Audit ,Daikin,VRV IV
zfgf746938367,7-Jan-26,TECH1013,Vikram Singh,33,4.7,12.972532,77.608179,13.022532,77.658179,Refrigeration System Repair,Low Priority,Heat Pump,Fog,Medium ,Urban ,1.25,Books,Routine Inspection,York,Affinity YXV
nfdj333236314,8-Jan-26,TECH1014,Robert Taylor,34,4,19.103249,72.846749,19.193249,72.936749,HVAC Maintenance,Medium Priority,Ventilation System,Windy,Jam ,Metropolitian ,3.25,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
zfxe533340329,9-Jan-26,TECH1015,Lisa Nguyen,36,4.6,17.426228,78.407495,17.506228,78.487495,Electrical Repair,High Priority,Rooftop AC,Windy,Low ,Metropolitian ,1.666666667,Clothing,Customer Complaint ,Trane,CenTraVac
kwmv603335255,10-Jan-26,TECH1016,Carlos Rivera,33,4.6,26.471617,80.313564,26.491617,80.333564,Plumbing Maintenance,Urgent Priority,Asset  type,Fog,Low ,Metropolitian ,1.25,Apparel,Automated System Alert ,Lennox,Energence Ultra
gopn683041817,11-Jan-26,TECH1017,Emma Brown,22,4.8,19.866969,75.318894,19.976969,75.428894,Boiler Servicing,Low Priority,Air Conditioner,Sandstorms,Low ,Metropolitian ,1.333333333,Jewelry,Compliance Audit ,Daikin,VRV IV
ppri902151840,12-Jan-26,TECH1018,Vikram Singh,38,4.7,18.593481,73.785901,18.603481,73.795901,Refrigeration System Repair,Medium Priority,Chiller Unit,Sunny,Low ,Metropolitian ,1.583333333,Clothing,Routine Inspection,York,Affinity YXV
libi732501950,13-Jan-26,TECH1019,Robert Taylor,27,4.9,12.906229,77.596791,12.986229,77.676791,HVAC Maintenance,High Priority,Heat Pump,Fog,Low ,Metropolitian ,1.666666667,Kitchen,Scheduled Maintenance ,Carrier,AquaEdge 23XR
kdbu035077095,14-Jan-26,TECH1020,Lisa Nguyen,32,4.8,26.482581,80.315628,26.552581,80.385628,Electrical Repair,Urgent Priority,Ventilation System,Sunny,Jam ,Metropolitian ,2.083333333,Books,Customer Complaint ,Trane,CenTraVac
mfol662804540,15-Jan-26,TECH1021,Carlos Rivera,26,4.8,12.933298,77.614293,13.013298,77.694293,Plumbing Maintenance,Low Priority,Rooftop AC,Cloudy,Jam ,Metropolitian ,3.583333333,Home,Automated System Alert ,Lennox,Energence Ultra
bdgu970232668,16-Jan-26,TECH1022,Emma Brown,29,4.5,22.751857,75.866699,22.881857,75.996699,Boiler Servicing,Medium Priority,Asset  type,Windy,Low ,Urban ,1.25,Toys,Compliance Audit ,Daikin,VRV IV
odlo529484325,17-Jan-26,TECH1023,Vikram Singh,31,4.5,11.010375,76.95295,11.090375,77.03295,Refrigeration System Repair,High Priority,Air Conditioner,Sunny,Jam ,Urban ,2.416666667,Pet Supplies,Routine Inspection,York,Affinity YXV
vxvr447893698,18-Jan-26,TECH1024,Robert Taylor,28,4.6,17.483216,78.552111,17.523216,78.592111,HVAC Maintenance,Urgent Priority,Chiller Unit,Stormy,High ,Metropolitian ,1.166666667,Outdoors,Scheduled Maintenance ,Carrier,AquaEdge 23XR
fmhd254099683,19-Jan-26,TECH1025,Lisa Nguyen,21,4.8,27.160934,78.044095,27.220934,78.104095,Electrical Repair,Low Priority,Heat Pump,Sunny,Medium ,Metropolitian ,0.916666667,Toys,Customer Complaint ,Trane,CenTraVac
evzr452255970,20-Jan-26,TECH1026,Carlos Rivera,21,4,11.006686,76.951736,11.056686,77.001736,Plumbing Maintenance,Medium Priority,Ventilation System,Sandstorms,Low ,Metropolitian ,1.583333333,Clothing,Automated System Alert ,Lennox,Energence Ultra
hdgi344002220,21-Jan-26,TECH1027,Emma Brown,30,4.9,0,0,0.08,0.08,Boiler Servicing,High Priority,Rooftop AC,Windy,Low ,Metropolitian ,2.416666667,Skincare,Compliance Audit ,Daikin,VRV IV
ypdy132507323,22-Jan-26,TECH1028,Vikram Singh,29,4.7,25.457687,81.835585,25.497687,81.875585,Refrigeration System Repair,Urgent Priority,Asset  type,Cloudy,Medium ,Urban ,0.916666667,Shoes,Routine Inspection,York,Affinity YXV
vpun175942482,23-Jan-26,TECH1029,Robert Taylor,20,4.8,19.12663,72.829976,19.13663,72.839976,HVAC Maintenance,Low Priority,Air Conditioner,Sunny,High ,Metropolitian ,1.166666667,Sports,Scheduled Maintenance ,Carrier,AquaEdge 23XR
cdkz589624699,24-Jan-26,TECH1030,Lisa Nguyen,28,5,19.875016,75.322405,19.965016,75.412405,Electrical Repair,Medium Priority,Chiller Unit,Windy,Low ,Urban ,1.25,Electronics,Customer Complaint ,Trane,CenTraVac
kiyg810534481,25-Jan-26,TECH1031,Carlos Rivera,25,4.7,19.178321,72.834715,19.248321,72.904715,Plumbing Maintenance,High Priority,Heat Pump,Sandstorms,Low ,Metropolitian ,0.266666667,Grocery,Automated System Alert ,Lennox,Energence Ultra
pwbi898606991,26-Jan-26,TECH1032,Emma Brown,38,4.8,13.026279,80.174568,13.046279,80.194568,Boiler Servicing,Urgent Priority,Ventilation System,Stormy,Low ,Metropolitian ,1.666666667,Apparel,Compliance Audit ,Daikin,VRV IV
taqg748867597,27-Jan-26,TECH1033,Vikram Singh,39,4.9,17.455894,78.375467,17.485894,78.405467,Refrigeration System Repair,Low Priority,Rooftop AC,Stormy,Low ,Metropolitian ,2.166666667,Pet Supplies,Routine Inspection,York,Affinity YXV
dkgi875489081,28-Jan-26,TECH1034,Robert Taylor,26,4.9,21.149834,72.778666,21.209834,72.838666,HVAC Maintenance,Medium Priority,Asset  type,Windy,Medium ,Metropolitian ,2.166666667,Electronics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
ubag651976139,29-Jan-26,TECH1035,Lisa Nguyen,33,4.4,11.022477,76.995667,11.092477,77.065667,Electrical Repair,High Priority,Air Conditioner,Windy,Jam ,Urban ,3.583333333,Sports,Customer Complaint ,Trane,CenTraVac
zxtz236128998,30-Jan-26,TECH1036,Carlos Rivera,24,4.6,22.310237,73.158921,22.370237,73.218921,Plumbing Maintenance,Urgent Priority,Chiller Unit,Sandstorms,Medium ,Urban ,2.083333333,Home,Automated System Alert ,Lennox,Energence Ultra
hmju318251956,31-Jan-26,TECH1037,Emma Brown,24,4.9,11.010375,76.95295,11.050375,76.99295,Boiler Servicing,Low Priority,Heat Pump,Fog,Medium ,Metropolitian ,2.333333333,Sports,Compliance Audit ,Daikin,VRV IV
ltwr528697521,1-Feb-26,TECH1038,Vikram Singh,33,4.5,22.745049,75.892471,22.835049,75.982471,Refrigeration System Repair,Medium Priority,Ventilation System,Stormy,Low ,Metropolitian ,1.416666667,Snacks,Routine Inspection,York,Affinity YXV
jsku204560077,2-Feb-26,TECH1039,Robert Taylor,35,4.2,22.74806,75.8934,22.83806,75.9834,HVAC Maintenance,High Priority,Rooftop AC,Windy,Jam ,Metropolitian ,3.666666667,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
istj070213071,3-Feb-26,TECH1040,Lisa Nguyen,27,4.2,19.178321,72.834715,19.268321,72.924715,Electrical Repair,Urgent Priority,Asset  type,Stormy,Jam ,Metropolitian ,2.75,Jewelry,Customer Complaint ,Trane,CenTraVac
dahw022547497,4-Feb-26,TECH1041,Carlos Rivera,29,4.5,12.979096,77.640625,13.009096,77.670625,Plumbing Maintenance,Low Priority,Air Conditioner,Sunny,Medium ,Metropolitian ,1.25,Electronics,Automated System Alert ,Lennox,Energence Ultra
vvgj958702360,5-Feb-26,TECH1042,Emma Brown,34,4.7,27.163303,78.057044,27.293303,78.187044,Boiler Servicing,Medium Priority,Chiller Unit,Fog,Low ,Metropolitian ,2.25,Skincare,Compliance Audit ,Daikin,VRV IV
rabu202619192,6-Feb-26,TECH1043,Vikram Singh,20,4.7,26.482419,80.320939,26.502419,80.340939,Refrigeration System Repair,High Priority,Heat Pump,Cloudy,High ,Metropolitian ,0.416666667,Grocery,Routine Inspection,York,Affinity YXV
aeuj226729421,7-Feb-26,TECH1044,Robert Taylor,29,4.8,22.310237,73.158921,22.350237,73.198921,HVAC Maintenance,Urgent Priority,Ventilation System,Sunny,High ,Metropolitian ,1.5,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
rbiv368919286,8-Feb-26,TECH1045,Lisa Nguyen,22,4.9,22.307898,73.167788,22.367898,73.227788,Electrical Repair,Low Priority,Rooftop AC,Stormy,Medium ,Metropolitian ,1.75,Kitchen,Customer Complaint ,Trane,CenTraVac
kxfb230420855,9-Feb-26,TECH1046,Carlos Rivera,35,4.9,27.160832,78.011608,27.230832,78.081608,Plumbing Maintenance,Medium Priority,Asset  type,Cloudy,Jam ,Metropolitian ,0.883333333,Grocery,Automated System Alert ,Lennox,Energence Ultra
hwmm104541576,10-Feb-26,TECH1047,Emma Brown,32,4.4,10.027014,76.308053,10.137014,76.418053,Boiler Servicing,High Priority,Air Conditioner,Sandstorms,Jam ,Metropolitian ,3.5,Kitchen,Compliance Audit ,Daikin,VRV IV
qnwk753395424,11-Feb-26,TECH1048,Vikram Singh,28,4.9,30.890184,75.829615,31.000184,75.939615,Refrigeration System Repair,Urgent Priority,Chiller Unit,Sunny,Jam ,Metropolitian ,1.666666667,Toys,Routine Inspection,York,Affinity YXV
vvqg343205052,12-Feb-26,TECH1049,Robert Taylor,30,4.7,11.003681,76.975525,11.133681,77.105525,HVAC Maintenance,Low Priority,Heat Pump,Fog,Low ,Metropolitian ,2.416666667,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
iuxj806937978,13-Feb-26,TECH1050,Lisa Nguyen,22,4.7,12.986047,80.218114,13.096047,80.328114,Electrical Repair,Medium Priority,Ventilation System,Stormy,Jam ,Urban ,1.25,Electronics,Customer Complaint ,Trane,CenTraVac
yyny933118563,14-Feb-26,TECH1051,Carlos Rivera,36,4.7,11.006686,76.951736,11.056686,77.001736,Plumbing Maintenance,High Priority,Rooftop AC,Fog,Medium ,Metropolitian ,2.5,Home,Automated System Alert ,Lennox,Energence Ultra
bwhs416644198,15-Feb-26,TECH1052,Emma Brown,23,4.8,21.15276,72.778059,21.28276,72.908059,Boiler Servicing,Urgent Priority,Asset  type,Windy,Jam ,Metropolitian ,0.466666667,Grocery,Compliance Audit ,Daikin,VRV IV
rfxd157515921,16-Feb-26,TECH1053,Vikram Singh,22,4.8,22.753839,75.897429,22.773839,75.917429,Refrigeration System Repair,Low Priority,Air Conditioner,Stormy,Low ,Other,0.316666667,Grocery,Routine Inspection,York,Affinity YXV
pgjt711137922,17-Feb-26,TECH1054,Robert Taylor,29,4.5,19.876106,75.340775,20.006106,75.470775,HVAC Maintenance,Medium Priority,Chiller Unit,Sandstorms,Low ,Metropolitian ,1.25,Jewelry,Scheduled Maintenance ,Carrier,AquaEdge 23XR
fxir538138707,18-Feb-26,TECH1055,Lisa Nguyen,34,4.9,13.005801,80.250744,13.115801,80.360744,Electrical Repair,High Priority,Heat Pump,Sandstorms,Jam ,Urban ,4.166666667,Snacks,Customer Complaint ,Trane,CenTraVac
kezq280741564,19-Feb-26,TECH1056,Carlos Rivera,38,4.1,12.933298,77.614293,12.943298,77.624293,Plumbing Maintenance,Urgent Priority,Ventilation System,Stormy,High ,Metropolitian ,3.416666667,Kitchen,Automated System Alert ,Lennox,Energence Ultra
dqha770938362,20-Feb-26,TECH1057,Emma Brown,35,5,0,0,0.07,0.07,Boiler Servicing,Low Priority,Rooftop AC,Fog,Medium ,Metropolitian ,3.083333333,Pet Supplies,Compliance Audit ,Daikin,VRV IV
biau131098726,21-Feb-26,TECH1058,Vikram Singh,38,4.7,0,0,0.06,0.06,Refrigeration System Repair,Medium Priority,Asset  type,Cloudy,Jam ,Metropolitian ,2.333333333,Home,Routine Inspection,York,Affinity YXV
zkun393659280,22-Feb-26,TECH1059,Robert Taylor,32,4.3,30.328174,78.049117,30.398174,78.119117,HVAC Maintenance,High Priority,Air Conditioner,Cloudy,Medium ,Metropolitian ,2.916666667,Cosmetics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
lxwa140818117,23-Feb-26,TECH1060,Lisa Nguyen,20,4.5,12.978453,77.643685,13.048453,77.713685,Electrical Repair,Urgent Priority,Chiller Unit,Windy,Jam ,Metropolitian ,2.25,Home,Customer Complaint ,Trane,CenTraVac
uyid942578627,24-Feb-26,TECH1061,Carlos Rivera,25,4.9,13.058616,80.264151,13.138616,80.344151,Plumbing Maintenance,Low Priority,Heat Pump,Fog,Jam ,Metropolitian ,3.583333333,Skincare,Automated System Alert ,Lennox,Energence Ultra
scqu849553683,25-Feb-26,TECH1062,Emma Brown,29,4.5,26.911927,75.797282,26.971927,75.857282,Boiler Servicing,Medium Priority,Ventilation System,Fog,Low ,Other,1,Books,Compliance Audit ,Daikin,VRV IV
mctx146223837,26-Feb-26,TECH1063,Vikram Singh,32,4.7,-27.165108,78.015053,27.225108,78.075053,Refrigeration System Repair,High Priority,Rooftop AC,Sandstorms,Jam ,Metropolitian ,2.583333333,Clothing,Routine Inspection,York,Affinity YXV
cyko979976221,27-Feb-26,TECH1064,Robert Taylor,39,4.1,0,0,0.13,0.13,HVAC Maintenance,Urgent Priority,Asset  type,Cloudy,Jam ,Metropolitian ,3.25,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
uesw387337499,28-Feb-26,TECH1065,Lisa Nguyen,31,4.4,22.307898,73.167788,22.417898,73.277788,Electrical Repair,Low Priority,Air Conditioner,Stormy,Jam ,Urban ,3.916666667,Books,Customer Complaint ,Trane,CenTraVac
wowz415217997,1-Mar-26,TECH1066,Carlos Rivera,37,4.5,21.170096,72.789122,21.220096,72.839122,Plumbing Maintenance,Medium Priority,Chiller Unit,Fog,Low ,Urban ,2.166666667,Apparel,Automated System Alert ,Lennox,Energence Ultra
uxsb403561931,2-Mar-26,TECH1067,Emma Brown,36,4.9,30.905562,75.832841,30.995562,75.922841,Boiler Servicing,High Priority,Heat Pump,Cloudy,Medium ,Metropolitian ,2.583333333,Apparel,Compliance Audit ,Daikin,VRV IV
cyye995820696,3-Mar-26,TECH1068,Vikram Singh,37,3.8,26.849596,75.800512,26.989596,75.940512,Refrigeration System Repair,Urgent Priority,Ventilation System,Sandstorms,Jam ,Metropolitian ,3.5,Cosmetics,Routine Inspection,York,Affinity YXV
jbts229431770,4-Mar-26,TECH1069,Robert Taylor,38,4.9,11.003681,76.975525,11.043681,77.015525,HVAC Maintenance,Low Priority,Rooftop AC,Cloudy,High ,Metropolitian ,2.083333333,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
iqbd216667101,5-Mar-26,TECH1070,Lisa Nguyen,37,4.4,27.163303,78.057044,27.243303,78.137044,Electrical Repair,Medium Priority,Asset  type,Sandstorms,Jam ,Metropolitian ,3.25,Cosmetics,Customer Complaint ,Trane,CenTraVac
bszz787750715,6-Mar-26,TECH1071,Carlos Rivera,21,4.9,21.157729,72.768726,21.247729,72.858726,Plumbing Maintenance,High Priority,Air Conditioner,Fog,Low ,Other,1.75,Snacks,Automated System Alert ,Lennox,Energence Ultra
eynm000731182,7-Mar-26,TECH1072,Emma Brown,35,4.9,26.902328,75.794257,26.932328,75.824257,Boiler Servicing,Urgent Priority,Chiller Unit,Fog,Medium ,Metropolitian ,1.5,Toys,Compliance Audit ,Daikin,VRV IV
cdmn013747827,8-Mar-26,TECH1073,Vikram Singh,22,4.8,26.90519,75.810753,26.99519,75.900753,Refrigeration System Repair,Low Priority,Heat Pump,Sandstorms,Jam ,Urban ,1.833333333,Electronics,Routine Inspection,York,Affinity YXV
fxuz549696901,9-Mar-26,TECH1074,Robert Taylor,28,4.8,17.428294,78.404423,17.448294,78.424423,HVAC Maintenance,Medium Priority,Ventilation System,Fog,Low ,Metropolitian ,1.916666667,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
jtpt648811611,10-Mar-26,TECH1075,Lisa Nguyen,39,4,12.316967,76.603067,12.446967,76.733067,Electrical Repair,High Priority,Rooftop AC,Stormy,Medium ,Metropolitian ,4,Jewelry,Customer Complaint ,Trane,CenTraVac
oxji736034406,11-Mar-26,TECH1076,Carlos Rivera,29,4.5,12.975377,77.696664,13.055377,77.776664,Plumbing Maintenance,Urgent Priority,Asset  type,Windy,Low ,Urban ,1.083333333,Home,Automated System Alert ,Lennox,Energence Ultra
rihr033620085,12-Mar-26,TECH1077,Emma Brown,39,4.6,13.026286,80.275235,13.046286,80.295235,Boiler Servicing,Low Priority,Air Conditioner,Sandstorms,High ,Metropolitian ,2.666666667,Pet Supplies,Compliance Audit ,Daikin,VRV IV
gczg917526696,13-Mar-26,TECH1078,Vikram Singh,25,4.9,12.323978,76.627961,12.453978,76.757961,Refrigeration System Repair,Medium Priority,Chiller Unit,Sandstorms,Jam ,Urban ,1.333333333,Kitchen,Routine Inspection,York,Affinity YXV
svpx912240732,14-Mar-26,TECH1079,Robert Taylor,34,5,11.025083,77.015393,11.055083,77.045393,HVAC Maintenance,High Priority,Heat Pump,Cloudy,Medium ,Urban ,1.583333333,Home,Scheduled Maintenance ,Carrier,AquaEdge 23XR
asgd164341326,15-Mar-26,TECH1080,Lisa Nguyen,22,4.8,12.933284,77.615428,12.953284,77.635428,Electrical Repair,Urgent Priority,Ventilation System,Sunny,Low ,Metropolitian ,1.5,Electronics,Customer Complaint ,Trane,CenTraVac
xqcr834027606,16-Mar-26,TECH1081,Carlos Rivera,27,5,26.492106,80.327797,26.562106,80.397797,Plumbing Maintenance,Low Priority,Rooftop AC,Windy,Jam ,Metropolitian ,2.25,Sports,Automated System Alert ,Lennox,Energence Ultra
dmrl564554163,17-Mar-26,TECH1082,Emma Brown,28,4.5,19.003517,72.82765,19.073517,72.89765,Boiler Servicing,Medium Priority,Asset  type,Sunny,Medium ,Urban ,2.083333333,Clothing,Compliance Audit ,Daikin,VRV IV
efrs776811164,18-Mar-26,TECH1083,Vikram Singh,32,5,10.994136,76.963303,11.024136,76.993303,Refrigeration System Repair,High Priority,Air Conditioner,Stormy,Medium ,Metropolitian ,2.583333333,Skincare,Routine Inspection,York,Affinity YXV
ljep947754095,19-Mar-26,TECH1084,Robert Taylor,27,4.6,17.440827,78.393391,17.510827,78.463391,HVAC Maintenance,Urgent Priority,Chiller Unit,Sunny,Medium ,Metropolitian ,1.666666667,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
ljfy543933323,20-Mar-26,TECH1085,Lisa Nguyen,35,3.9,19.12663,72.829976,19.20663,72.909976,Electrical Repair,Low Priority,Heat Pump,Windy,Jam ,Metropolitian ,3.166666667,Toys,Customer Complaint ,Trane,CenTraVac
fshk983313794,21-Mar-26,TECH1086,Carlos Rivera,22,4.6,12.297954,76.665169,12.327954,76.695169,Plumbing Maintenance,Medium Priority,Ventilation System,Windy,Low ,Metropolitian ,1.583333333,Snacks,Automated System Alert ,Lennox,Energence Ultra
wypw496102732,22-Mar-26,TECH1087,Emma Brown,35,4.7,0,0,0.03,0.03,Boiler Servicing,High Priority,Rooftop AC,Sunny,Jam ,Metropolitian ,1.416666667,Sports,Compliance Audit ,Daikin,VRV IV
ayns342721271,23-Mar-26,TECH1088,Vikram Singh,30,4.6,22.308096,73.167753,22.318096,73.177753,Refrigeration System Repair,Urgent Priority,Asset  type,Cloudy,Low ,Urban ,2,Cosmetics,Routine Inspection,York,Affinity YXV
thym058259757,24-Mar-26,TECH1089,Robert Taylor,39,4.8,12.323194,76.630583,12.343194,76.650583,HVAC Maintenance,Low Priority,Air Conditioner,Fog,High ,Urban ,2.166666667,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
lgzn457957462,25-Mar-26,TECH1090,Lisa Nguyen,33,4.8,17.450851,78.379347,17.510851,78.439347,Electrical Repair,Medium Priority,Chiller Unit,Sandstorms,Medium ,Metropolitian ,2.333333333,Skincare,Customer Complaint ,Trane,CenTraVac
qezt047211927,26-Mar-26,TECH1091,Carlos Rivera,20,4.7,18.543626,73.905101,18.623626,73.985101,Plumbing Maintenance,High Priority,Heat Pump,Sandstorms,Medium ,Urban ,1.333333333,Pet Supplies,Automated System Alert ,Lennox,Energence Ultra
gzdo509306528,27-Mar-26,TECH1092,Emma Brown,20,4.7,0,0,0.03,0.03,Boiler Servicing,Urgent Priority,Ventilation System,Fog,Medium ,Urban ,1.416666667,Pet Supplies,Compliance Audit ,Daikin,VRV IV
ersz046238543,28-Mar-26,TECH1093,Vikram Singh,34,4.2,12.304569,76.643622,12.364569,76.703622,Refrigeration System Repair,Low Priority,Rooftop AC,Windy,Low ,Urban ,2,Electronics,Routine Inspection,York,Affinity YXV
tgpw108094548,29-Mar-26,TECH1094,Robert Taylor,22,4.7,12.299524,76.64262,12.369524,76.71262,HVAC Maintenance,Medium Priority,Asset  type,Windy,Medium ,Metropolitian ,2,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
inqt227293158,30-Mar-26,TECH1095,Lisa Nguyen,37,4.3,26.849596,75.800512,26.869596,75.820512,Electrical Repair,High Priority,Air Conditioner,Stormy,High ,Metropolitian ,2.833333333,Clothing,Customer Complaint ,Trane,CenTraVac
mwyi621708115,31-Mar-26,TECH1096,Carlos Rivera,20,4.8,19.003517,72.82765,19.013517,72.83765,Plumbing Maintenance,Urgent Priority,Chiller Unit,Cloudy,Low ,Urban ,1.333333333,Snacks,Automated System Alert ,Lennox,Energence Ultra
hzpx007931304,1-Apr-26,TECH1097,Emma Brown,33,4.9,21.160522,72.771477,21.210522,72.821477,Boiler Servicing,Low Priority,Heat Pump,Windy,Low ,Metropolitian ,2.166666667,Electronics,Compliance Audit ,Daikin,VRV IV
gbab110045112,2-Apr-26,TECH1098,Vikram Singh,21,5,22.728163,75.884212,22.858163,76.014212,Refrigeration System Repair,Medium Priority,Ventilation System,Fog,Medium ,Metropolitian ,2.083333333,Home,Routine Inspection,York,Affinity YXV
hvpj165495397,3-Apr-26,TECH1099,Robert Taylor,33,4.6,22.31279,73.170283,22.38279,73.240283,HVAC Maintenance,High Priority,Rooftop AC,Fog,Medium ,Metropolitian ,4.083333333,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
ceed295586354,4-Apr-26,TECH1100,Lisa Nguyen,24,4.6,12.98041,77.640489,13.06041,77.720489,Electrical Repair,Urgent Priority,Asset  type,Windy,Medium ,Urban ,0.4,Grocery,Customer Complaint ,Trane,CenTraVac
tonn051257985,5-Apr-26,TECH1101,Carlos Rivera,36,4.7,0,0,0.02,0.02,Plumbing Maintenance,Low Priority,Air Conditioner,Sandstorms,High ,Metropolitian ,2.666666667,Skincare,Automated System Alert ,Lennox,Energence Ultra
erap841821582,6-Apr-26,TECH1102,Emma Brown,30,4.6,19.131141,72.813074,19.16114,72.843074,Boiler Servicing,Medium Priority,Chiller Unit,Sunny,Medium ,Metropolitian ,0.433333333,Grocery,Compliance Audit ,Daikin,VRV IV
iavt937545530,7-Apr-26,TECH1103,Vikram Singh,32,4.9,17.433809,78.386744,17.523809,78.476744,Refrigeration System Repair,High Priority,Heat Pump,Sandstorms,Low ,Metropolitian ,2,Jewelry,Routine Inspection,York,Affinity YXV
trka856987401,8-Apr-26,TECH1104,Robert Taylor,28,4.6,17.428294,78.404423,17.558294,78.534423,HVAC Maintenance,Urgent Priority,Ventilation System,Stormy,Jam ,Metropolitian ,1.333333333,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
lcgk008504983,9-Apr-26,TECH1105,Lisa Nguyen,21,4.7,26.766536,75.837333,26.896536,75.967333,Electrical Repair,Low Priority,Rooftop AC,Windy,Jam ,Metropolitian ,2.25,Home,Customer Complaint ,Trane,CenTraVac
zqro449286965,10-Apr-26,TECH1106,Carlos Rivera,39,4.9,19.879631,75.323403,19.899631,75.343403,Plumbing Maintenance,Medium Priority,Asset  type,Fog,High ,Metropolitian ,2.083333333,Snacks,Automated System Alert ,Lennox,Energence Ultra
syeh579470089,11-Apr-26,TECH1107,Emma Brown,32,4.7,13.026286,80.275235,13.046286,80.295235,Boiler Servicing,High Priority,Air Conditioner,Cloudy,Low ,Metropolitian ,2.166666667,Shoes,Compliance Audit ,Daikin,VRV IV
zhab316861798,12-Apr-26,TECH1108,Vikram Singh,20,4.5,19.091458,72.827808,19.151458,72.887808,Refrigeration System Repair,Urgent Priority,Chiller Unit,Sandstorms,Jam ,Urban ,2.083333333,Home,Routine Inspection,York,Affinity YXV
qqjl805129936,13-Apr-26,TECH1109,Robert Taylor,36,5,26.849596,75.800512,26.859596,75.810512,HVAC Maintenance,Low Priority,Heat Pump,Fog,Low ,Urban ,0.25,Grocery,Scheduled Maintenance ,Carrier,AquaEdge 23XR
weco669309017,14-Apr-26,TECH1110,Lisa Nguyen,28,4.8,12.934179,77.615797,12.954179,77.635797,Electrical Repair,Medium Priority,Ventilation System,Sunny,Low ,Urban ,1.5,Jewelry,Customer Complaint ,Trane,CenTraVac
zbel647135442,15-Apr-26,TECH1111,Carlos Rivera,32,4.5,18.520016,73.830547,18.570016,73.880547,Plumbing Maintenance,High Priority,Rooftop AC,Fog,Jam ,Metropolitian ,2.5,Electronics,Automated System Alert ,Lennox,Energence Ultra
emwe467794784,16-Apr-26,TECH1112,Emma Brown,39,4.4,12.986047,80.218114,13.096047,80.328114,Boiler Servicing,Urgent Priority,Asset  type,Cloudy,Jam ,Metropolitian ,3.833333333,Toys,Compliance Audit ,Daikin,VRV IV
xznm347660092,17-Apr-26,TECH1113,Vikram Singh,30,4.7,21.170798,72.790489,21.280798,72.900489,Refrigeration System Repair,Low Priority,Air Conditioner,Windy,Low ,Metropolitian ,0.4,Grocery,Routine Inspection,York,Affinity YXV
